tool		CPAchecker 4.0-227-g656a5690ab+	CPAchecker 4.0-227-g656a5690ab+	CPAchecker 4.0-227-g656a5690ab+	CPAchecker 4.0-227-g656a5690ab+	CPAchecker 4.0-227-g656a5690ab+
run set		ErrorCondition	ErrorCondition	ErrorCondition	ErrorCondition	ErrorCondition
test/programs/benchmarks/		status	cputime (s)	walltime (s)	memory (MB)	host
eca-rers2012/Problem02_label52.yml	true	true	13.104408	6.827121869893745	186.167296	ws12
eca-rers2012/Problem02_label53.yml	true	true	14.32546	7.480161390034482	207.237120	ws15
eca-rers2012/Problem02_label54.yml	true	true	14.430035	7.519931111950427	185.827328	ws10
eca-rers2012/Problem02_label55.yml	true	true	10.722954	5.583253153832629	186.466304	ws01
eca-rers2012/Problem02_label56.yml	true	true	14.615073	7.67132690991275	204.214272	ws15
eca-rers2012/Problem02_label57.yml	true	true	14.296233	7.4302269709296525	185.606144	ws13
eca-rers2012/Problem02_label58.yml	true	true	14.64814	7.624138229060918	190.316544	ws20
eca-rers2012/Problem02_label59.yml	false	TIMEOUT	1000.150299	992.0334604158998	857.632768	ws08
eca-rers2012/Problem03_label00.yml	true	true	109.24897	91.47355512483045	454.287360	ws20
eca-rers2012/Problem03_label01.yml	true	true	25.566617	13.547571077942848	312.180736	ws13
eca-rers2012/Problem03_label02.yml	true	true	28.273435	15.06499397708103	274.505728	ws13
eca-rers2012/Problem03_label03.yml	true	true	27.289071	14.160498331999406	296.501248	ws10
eca-rers2012/Problem03_label04.yml	true	true	29.221456	15.65210946300067	350.273536	ws02
eca-rers2012/Problem03_label05.yml	true	true	27.455996	14.203663259046152	312.279040	ws15
eca-rers2012/Problem03_label06.yml	true	true	81.090677	63.138685811078176	433.336320	ws02
eca-rers2012/Problem03_label07.yml	true	true	27.085921	14.043267131084576	294.547456	ws14
eca-rers2012/Problem03_label08.yml	true	true	271.137843	252.40088801993988	470.441984	ws11
eca-rers2012/Problem03_label09.yml	false	TIMEOUT	1000.191383	984.1548697079998	844.025856	ws18
eca-rers2012/Problem03_label10.yml	true	true	27.387709	14.273911526892334	282.738688	ws15
eca-rers2012/Problem03_label11.yml	true	true	28.532228	14.801666379906237	296.210432	ws07
eca-rers2012/Problem03_label12.yml	true	true	29.344598	15.467801708960906	329.863168	ws13
eca-rers2012/Problem03_label13.yml	false	TIMEOUT	1000.16327	987.8086624180432	810.512384	ws17
eca-rers2012/Problem03_label14.yml	true	true	28.011512	14.757857091957703	288.706560	ws02
eca-rers2012/Problem03_label15.yml	true	true	28.816804	14.966660039965063	315.543552	ws20
eca-rers2012/Problem03_label16.yml	true	true	61.981704	45.15911177312955	442.720256	ws20
eca-rers2012/Problem03_label17.yml	true	true	30.903003	15.972238588146865	322.125824	ws14
eca-rers2012/Problem03_label18.yml	true	true	27.525867	15.056138213025406	335.069184	ws08
eca-rers2012/Problem03_label19.yml	true	true	27.912252	14.589876814978197	285.548544	ws07
eca-rers2012/Problem03_label20.yml	true	true	29.805256	15.474261056864634	301.572096	ws04
eca-rers2012/Problem03_label21.yml	true	true	29.896288	16.099192913854495	334.393344	ws05
eca-rers2012/Problem03_label22.yml	true	true	22.799747	12.051751682069153	285.028352	ws09
eca-rers2012/Problem03_label23.yml	true	true	27.505401	14.316608970984817	290.975744	ws07
eca-rers2012/Problem03_label24.yml	true	true	28.219831	14.724136643810198	293.294080	ws03
eca-rers2012/Problem03_label25.yml	true	true	27.071792	14.188892072997987	289.333248	ws18
eca-rers2012/Problem03_label26.yml	false	TIMEOUT	1000.175888	987.6451902831905	746.545152	ws17
eca-rers2012/Problem03_label27.yml	false	TIMEOUT	1000.176881	984.7987565549556	729.063424	ws13
eca-rers2012/Problem03_label28.yml	false	TIMEOUT	1000.180436	986.3204807678703	766.369792	ws16
eca-rers2012/Problem03_label29.yml	true	true	23.01188	11.869698151946068	268.947456	ws03
eca-rers2012/Problem03_label30.yml	true	true	28.29275	14.929876511916518	276.566016	ws03
eca-rers2012/Problem03_label31.yml	false	TIMEOUT	1000.195562	987.9367790678516	958.251008	ws04
eca-rers2012/Problem03_label32.yml	true	true	52.252623	33.95719672506675	372.125696	ws19
eca-rers2012/Problem03_label33.yml	true	true	145.692403	128.927425541915	472.940544	ws14
eca-rers2012/Problem03_label34.yml	true	true	28.010189	14.700295377988368	297.611264	ws20
eca-rers2012/Problem03_label35.yml	false	TIMEOUT	1000.186894	985.3397684281226	832.372736	ws18
eca-rers2012/Problem03_label36.yml	true	true	43.741927	28.428492435021326	367.394816	ws13
